Model,DA (%),Majority (%),DA - majority,DA std (%),PT stat,PT p,F1 macro,R2_OOS,R2_OOS std,RMSE (bps),MAE (bps),Excluded (%),Price RMSE [2nd],Price MAPE (%) [2nd]
Tree Ensemble,52.41,53.55,-1.14,2.33,1.406,0.0799,0.5135,-0.02513,0.03575,180.3,126.0,6.8,2.2799,1.2614
BiLSTM,52.27,53.55,-1.28,3.27,-0.773,0.7803,0.4271,-0.00509,0.011,178.5,123.9,6.8,2.2788,1.2402
Transformer,52.45,53.55,-1.1,2.83,-0.331,0.6295,0.4375,0.00041,0.00709,178.0,123.6,6.8,2.2676,1.2365
Zero return,46.45,53.55,-7.1,2.59,,,0.3172,-0.00219,0.00726,178.2,123.6,6.8,2.2736,1.2358
Historical mean,53.55,53.55,0.0,2.59,,,0.3487,0.0,0.0,178.0,123.4,6.8,2.2722,1.2343
AR(1) returns,53.26,53.55,-0.28,2.66,0.528,0.2986,0.401,-0.00318,0.00576,178.3,123.6,6.8,2.2763,1.2363
"ARIMA(5, 0, 0) returns",52.02,53.55,-1.53,2.87,-0.727,0.7664,0.4391,-0.00784,0.00997,178.7,123.9,6.8,2.2783,1.2402
Random sign,49.61,53.55,-3.94,3.79,0.121,0.452,0.4955,-0.94088,0.57183,248.0,201.5,6.8,3.2894,2.0134
