ticker,model,fold_id,n_train,n_test,alpha,intercept,coef_abs_sum,coef_abs_max,pred_sd_over_train_sd,C,p_up_mean,p_up_sd,single_class
AAPL,Ridge (returns),0,1008,252,1000000.0,0.0008943276831503547,1.2188911893874938e-05,1.2699870173506197e-06,0.00015610105043056824,,,,
AAPL,Ridge (returns),1,1260,252,1000000.0,0.0011479126976379336,1.3273602488939059e-05,1.391900784397181e-06,0.00022201633912900795,,,,
AAPL,Ridge (returns),2,1512,252,1000000.0,0.0008403391257045292,1.5725250195659e-05,1.4573888187988028e-06,0.00024342129552317536,,,,
AAPL,Ridge (returns),3,1764,252,1000000.0,0.0008908914759593224,1.5368414158472575e-05,1.9465199586943825e-06,0.0002122159257176188,,,,
AAPL,Ridge (returns),4,2016,252,1000000.0,0.0008988871407416937,1.6450874817364853e-05,2.1640510396291207e-06,0.00027459627881557853,,,,
AAPL,Ridge (returns),5,2268,252,1000000.0,0.0008368883532169273,1.7850070108049053e-05,2.2474085432615185e-06,0.0002279082787777884,,,,
AAPL,Ridge (returns),6,2520,252,10000.0,0.0008627515562635373,0.0020646888488172637,0.00028138021579621024,0.05537817382198064,,,,
AAPL,Ridge (returns),7,2772,252,1000.0,0.001030013899603173,0.010115326446995518,0.0007919217572254522,0.08765549792442029,,,,
AAPL,Ridge (returns),8,3024,252,10000.0,0.0010494247574939395,0.002258353554473477,0.0002593618462945201,0.04567948957703595,,,,
AAPL,Ridge (returns),9,3276,252,1000.0,0.0009616664375773533,0.011159921105865804,0.0008558220927794553,0.058735469509784734,,,,
AAPL,Ridge (returns),10,3528,252,1000.0,0.0009152222345052517,0.011154366356169607,0.0008907705490312511,0.08615005938104377,,,,
AAPL,Ridge (returns),11,3780,252,1000.0,0.0009260103775146492,0.010368344717542236,0.0009201914318381405,0.10387643585082881,,,,
AAPL,Logistic (direction),0,1008,252,,0.09929731758459566,0.03629834068861714,,,0.0001,0.5266083357304978,0.003008839017556399,False
AAPL,Logistic (direction),1,1260,252,,0.12728587566380212,0.26454002820705974,,,0.001,0.5256043664396789,0.020787975762598276,False
AAPL,Logistic (direction),2,1512,252,,0.08205584147725593,0.043793848759479066,,,0.0001,0.5210161538720051,0.0034616697228423685,False
AAPL,Logistic (direction),3,1764,252,,0.09527595666018408,0.04883703775365529,,,0.0001,0.5238027877548611,0.004365001334396687,False
AAPL,Logistic (direction),4,2016,252,,0.09136229836155794,0.04451261324627287,,,0.0001,0.522898585977336,0.004654200204287341,False
AAPL,Logistic (direction),5,2268,252,,0.10406642680529549,0.0485677103937118,,,0.0001,0.5273584085516967,0.006788454010483299,False
AAPL,Logistic (direction),6,2520,252,,0.10958420433027996,0.056908704514829336,,,0.0001,0.5260476681644738,0.008313055102042385,False
AAPL,Logistic (direction),7,2772,252,,0.11293697476071242,0.06766361643429619,,,0.0001,0.5285372547260808,0.005686013396431917,False
AAPL,Logistic (direction),8,3024,252,,0.11253729001645635,0.06532609113619102,,,0.0001,0.5256109023530032,0.0069787066345795325,False
AAPL,Logistic (direction),9,3276,252,,0.10873603693102725,0.05960233670694214,,,0.0001,0.5275960483734408,0.004779619936923184,False
AAPL,Logistic (direction),10,3528,252,,0.10316094327757085,0.05527522000043892,,,0.0001,0.5250175694705949,0.004745461760222064,False
AAPL,Logistic (direction),11,3780,252,,0.11756678934048254,0.0570746799150482,,,0.0001,0.5289823505312614,0.005785562546374507,False
MSFT,Ridge (returns),0,1008,252,1000000.0,0.0004017153511842194,1.2652707794647658e-05,1.214959892307112e-06,0.00036139761813423895,,,,
MSFT,Ridge (returns),1,1260,252,10000.0,0.00039960527116691567,0.001052982264730852,0.00011883292398899913,0.02886391411026624,,,,
MSFT,Ridge (returns),2,1512,252,1000000.0,0.0005172311411753909,1.7167000817908756e-05,1.4011509557478542e-06,0.00038305751414562285,,,,
MSFT,Ridge (returns),3,1764,252,100000.0,0.0005551400197371756,0.00018694506305965938,1.2904261072612053e-05,0.003822337599981673,,,,
MSFT,Ridge (returns),4,2016,252,100000.0,0.0006741185478592089,0.00020164183300236364,1.5521109419244155e-05,0.007019993155965712,,,,
MSFT,Ridge (returns),5,2268,252,10000.0,0.0007102970158892471,0.00154677175439531,0.00014631597819333606,0.054305972126011404,,,,
MSFT,Ridge (returns),6,2520,252,10000.0,0.0007215490215671959,0.0026949719713711185,0.0003000925498347067,0.11555490680236916,,,,
MSFT,Ridge (returns),7,2772,252,1000.0,0.0008323231431564902,0.009698988307327051,0.0008063041338969427,0.1511738810731197,,,,
MSFT,Ridge (returns),8,3024,252,1000.0,0.0008534810830884655,0.009568133393343774,0.0008149966781168005,0.22919880096511824,,,,
MSFT,Ridge (returns),9,3276,252,10000.0,0.0007624540959767879,0.0028795143262844145,0.0003160408010746542,0.0677105571256272,,,,
MSFT,Ridge (returns),10,3528,252,10000.0,0.0008378592650590844,0.002895478081297316,0.0003145780024953022,0.07542038978851691,,,,
MSFT,Ridge (returns),11,3780,252,10000.0,0.0007620489031557096,0.0028406607994551913,0.00029451259240920755,0.09871627280794772,,,,
MSFT,Logistic (direction),0,1008,252,,-0.0038462639232581496,0.023210654229919095,,,0.0001,0.49934919908427794,0.0023923404807112384,False
MSFT,Logistic (direction),1,1260,252,,-0.009402561648883687,0.031203377147979043,,,0.0001,0.496807512463145,0.0031747979103906483,False
MSFT,Logistic (direction),2,1512,252,,-0.010526891365983851,0.029058213611403025,,,0.0001,0.4972560987062745,0.0023202824687723433,False
MSFT,Logistic (direction),3,1764,252,,-0.002115054402839688,0.036516036691318254,,,0.0001,0.4983141962935855,0.0029662819841541643,False
MSFT,Logistic (direction),4,2016,252,,0.03564417669333853,0.050493147302901664,,,0.0001,0.5079700424907446,0.0044697272119971964,False
MSFT,Logistic (direction),5,2268,252,,0.05469461884784345,0.05924755750751023,,,0.0001,0.5117097920505449,0.0072414414958941985,False
MSFT,Logistic (direction),6,2520,252,,0.08100606891615686,0.07079956058308416,,,0.0001,0.5149116977482878,0.012088469091468112,False
MSFT,Logistic (direction),7,2772,252,,0.09535794411879264,0.07913833923783505,,,0.0001,0.5242436358372405,0.011067482318384848,False
MSFT,Logistic (direction),8,3024,252,,0.0940680131984281,0.07374640430668579,,,0.0001,0.5231537088160991,0.014202980556030718,False
MSFT,Logistic (direction),9,3276,252,,0.07823788019045891,0.07677565057868486,,,0.0001,0.5151553617024707,0.008654976734068526,False
MSFT,Logistic (direction),10,3528,252,,0.08736902884710028,0.08346031591135741,,,0.0001,0.5236801713488852,0.009601586043646937,False
MSFT,Logistic (direction),11,3780,252,,0.09121257884543196,0.0866243720539489,,,0.0001,0.5245694427579978,0.013436036267840741,False
NVDA,Ridge (returns),0,1008,252,1000000.0,5.8747935458296286e-05,1.9344365746565836e-05,2.0924602155110947e-06,0.0001591271643398208,,,,
NVDA,Ridge (returns),1,1260,252,1000000.0,0.00024008097319516643,1.9823001439721175e-05,2.2593263087743756e-06,0.00025855460967868837,,,,
NVDA,Ridge (returns),2,1512,252,1000000.0,0.00044970728775196883,2.2080603112223566e-05,2.560142847238715e-06,0.00022055714681032295,,,,
NVDA,Ridge (returns),3,1764,252,1000000.0,0.0010545411921655788,2.741378800112804e-05,2.560031144433591e-06,0.00034729054057165953,,,,
NVDA,Ridge (returns),4,2016,252,1000000.0,0.0013314269561061935,3.198949733050724e-05,2.9115531976116325e-06,0.00048331731411579526,,,,
