ticker,regime,fold_id,n_train,n_test,train_mean_bps,test_mean_bps,train_std_bps,test_std_bps,ks_stat,ks_p,ks_reject_5pct,test_outside_train_range
MSFT,full,0,1008,252,4.017153511842194,3.911649510976976,144.72475120232,133.68869579681228,0.0625,0.4007965392025766,False,0.0
MSFT,full,1,1260,252,3.996052711669149,11.0536049121777,142.58589743100237,176.2171206251673,0.049206349206349254,0.6771248461562692,False,0.007936507936507936
MSFT,full,2,1512,252,5.172311411753909,7.825932911078838,148.74344347921814,117.46769933485149,0.123015873015873,0.0026979135916305806,True,0.0
MSFT,full,3,1764,252,5.551400197371756,15.069682447134415,144.69295964917535,115.62094279281682,0.12528344671201813,0.001825549690096636,True,0.0
MSFT,full,4,2016,252,6.741185478592088,9.997247601295504,141.4212870298474,173.13127513102785,0.08333333333333337,0.08523062585186297,False,0.0
MSFT,full,5,2268,252,7.102970158892468,8.228170726687342,145.29040106592512,224.6502401657622,0.08245149911816585,0.08753341613140406,False,0.007936507936507936
MSFT,full,6,2520,252,7.215490215671953,19.400643590494585,155.065333215486,206.68756797652188,0.10833333333333328,0.008644345606436005,True,0.0
MSFT,full,7,2772,252,8.323231431564922,10.862184223401904,160.4842972705087,148.2654872615273,0.058802308802308745,0.3890705012637056,False,0.0
MSFT,full,8,3024,252,8.53481083088467,-3.2986974936336764,159.5033620801794,219.15868354827828,0.1421957671957672,0.0001470801846978233,True,0.0
MSFT,full,9,3276,252,7.624540959767875,18.1812646312894,164.89056020616852,139.61557193754638,0.06562881562881573,0.2561429733525121,False,0.0
MSFT,full,10,3528,252,8.37859265059084,-2.9929616349153796,163.23769938632088,134.9705680061662,0.06462585034013602,0.26953427571490485,False,0.0
MSFT,full,11,3780,252,7.620489031557093,-2.7425729460138695,161.53212202148558,165.60539647728677,0.07460317460317456,0.13792930385072222,False,0.0
NVDA,full,0,1008,252,0.5874793545829629,9.654131241426473,251.77327149770449,163.20897814683053,0.11904761904761904,0.006237031012979846,True,0.0
NVDA,full,1,1260,252,2.4008097319516644,14.97838860535981,236.7539038121693,229.6200183110043,0.060317460317460325,0.41877896395197484,False,0.0
NVDA,full,2,1512,252,4.497072877519688,46.835446186472396,235.62655383605062,275.50795825170434,0.1111111111111111,0.009092659217788054,True,0.007936507936507936
NVDA,full,3,1764,252,10.545411921655788,32.696273036904955,242.18066848474948,255.67070553530095,0.08333333333333337,0.08962566154324259,False,0.0
NVDA,full,4,2016,252,13.314269561061934,-12.708343001653589,244.01771735114033,332.41466303391365,0.08184523809523803,0.09524121065228577,False,0.011904761904761904
NVDA,full,5,2268,252,10.422868165204655,8.066094180769712,255.4861626599461,315.2105417141092,0.0582010582010582,0.4135787803111369,False,0.0
NVDA,full,6,2520,252,10.187190766761162,35.00543242930494,262.0727567583656,310.40644934316333,0.13888888888888884,0.00026193252093189624,True,0.0
NVDA,full,7,2772,252,12.443394554265138,28.692651776523576,266.9241315858576,306.3582970675597,0.08369408369408371,0.07494048001516408,False,0.0
NVDA,full,8,3024,252,13.797499322786678,-0.3457999165847951,270.4673198985457,388.46239961751616,0.15906084656084654,1.3428538431977593e-05,True,0.0
NVDA,full,9,3276,252,12.709553227450412,49.61221061317211,281.3317963489453,284.469568505886,0.08272283272283276,0.07744330087312522,False,0.0
NVDA,full,10,3528,252,15.34545732643053,11.028791286752483,281.7174375837053,355.857106247223,0.11678004535147402,0.0030223152352386803,True,0.0
NVDA,full,11,3780,252,15.057679590451995,13.89192584115414,287.25803456987006,257.59074254228227,0.041534391534391535,0.79587503627923,False,0.0
AVGO,full,0,1008,252,12.3422189441209,28.934245584625984,229.3033280296457,217.41039475711491,0.07738095238095238,0.17332784555843772,False,0.007936507936507936
AVGO,full,1,1260,252,15.660624272221913,6.441873916297053,227.07161029453292,256.25683439011044,0.09047619047619043,0.06162155332528994,False,0.0
AVGO,full,2,1512,252,14.124165879567771,15.652704787402719,232.2161232243835,150.28850268239444,0.09986772486772486,0.025558769827154777,True,0.0
AVGO,full,3,1764,252,14.34252858068705,4.643394796176077,222.36861417989098,171.86258720062241,0.0697278911564625,0.22603308985399856,False,0.0
AVGO,full,4,2016,252,13.13013685762318,9.011725084630656,216.72380664452183,225.1459508523003,0.030753968253968228,0.9806787532144065,False,0.003968253968253968
AVGO,full,5,2268,252,12.6725355495129,-14.859979476550137,217.6795409265751,297.16904314212115,0.034832451499118164,0.9389233132688062,False,0.011904761904761904
AVGO,full,6,2520,252,9.919284046906597,37.478310832201025,227.03548588036597,237.1398467429348,0.08888888888888896,0.05090387619087132,False,0.0
AVGO,full,7,2772,252,12.424650118296999,10.850381291417335,228.11019663735996,178.44239507813717,0.04653679653679654,0.6843039541967885,False,0.0
AVGO,full,8,3024,252,12.293461049390359,3.2171766295356417,224.3919264861493,219.17531845704437,0.10052910052910052,0.017068090298233755,True,0.0
AVGO,full,9,3276,252,11.595285324786152,30.538999619797615,224.00801880979282,217.58365760767558,0.04212454212454213,0.7868332974529556,False,0.0
AVGO,full,10,3528,252,12.948407774429826,13.737407857252808,223.60848782578563,359.9520304594241,0.10260770975056699,0.013235022736469626,True,0.003968253968253968
AVGO,full,11,3780,252,13.00100777995136,20.037519144987687,235.17038175754863,299.84035290261755,0.07037037037037053,0.18476294118871447,False,0.0
CRM,full,0,1008,252,11.256763359406259,5.531935321644405,249.11370197085336,219.09082670184625,0.04365079365079372,0.8275729370611609,False,0.0
CRM,full,1,1260,252,10.11179775185389,2.343369890878837,243.41633277503817,226.5372389904439,0.07777777777777772,0.15218111479734156,False,0.003968253968253968
CRM,full,2,1512,252,8.817059775024711,5.261335456964251,240.7027788063228,150.49854395820418,0.1388888888888889,0.0004398590500692014,True,0.0
CRM,full,3,1764,252,8.309099158158933,16.228243038360866,229.9961537229826,112.5598909638398,0.17630385487528344,1.8991972374810114e-06,True,0.0
CRM,full,4,2016,252,9.298992143184174,10.663508583178698,218.80705481090337,216.72578539330803,0.07688492063492064,0.13591849512544857,False,0.0
CRM,full,5,2268,252,9.450605080961344,-6.31334388201929,218.57720196287843,228.6723621399817,0.044973544973545,0.7347623682337464,False,0.003968253968253968
CRM,full,6,2520,252,7.87421018466328,16.656794029913552,219.65851680419405,286.57494155743746,0.08849206349206351,0.05258744937675107,False,0.003968253968253968
CRM,full,7,2772,252,8.672626897867852,1.2154311652353882,226.57408156196036,210.08210637481412,0.040764790764790726,0.8247485295574951,False,0.0
CRM,full,8,3024,252,8.05119392014848,-5.877204458796047,225.25530438294317,288.5535432131466,0.1412037037037037,0.0001678910107589066,True,0.0
CRM,full,9,3276,252,6.97977866022967,19.54834342554254,230.77155709214367,161.91811886982185,0.0753968253968254,0.1338236907083808,False,0.0
CRM,full,10,3528,252,7.877533286323444,-2.46129114484762,226.5716242583541,236.09902809585813,0.0663265306122448,0.24262712147882018,False,0.003968253968253968
CRM,full,11,3780,252,7.188278324245375,-17.252371115113107,227.23384858471962,222.34594222763124,0.061375661375661375,0.32416498188958504,False,0.0
ORCL,full,0,1008,252,4.660161745571016,5.530728329583259,167.968726806431,128.64914257914543,0.07440476190476186,0.20814360358912853,False,0.003968253968253968
ORCL,full,1,1260,252,4.8342750623734645,-2.691329200041531,160.87584090545403,143.57361069134294,0.06428571428571428,0.3411181906367406,False,0.0
ORCL,full,2,1512,252,3.5800076853042992,5.253018440297882,158.14853683680283,107.36069688007927,0.13690476190476186,0.0005585368987409469,True,0.0
ORCL,full,3,1764,252,3.8190092217319522,5.751845938950575,151.937241070662,121.09285862830862,0.10770975056689347,0.011294988758762265,True,0.0
ORCL,full,4,2016,252,4.060613811384282,1.1591537973086883,148.43400295058754,154.10263178270367,0.05654761904761907,0.4581467206253547,False,0.0
ORCL,full,5,2268,252,3.7382293653758802,-5.470631961312063,149.07728423072294,227.37474026307214,0.05511463844797182,0.48277221679390653,False,0.003968253968253968
ORCL,full,6,2520,252,2.8173432327070866,15.959831625711523,158.6795277867974,178.4409577526547,0.06706349206349205,0.24518106570043513,False,0.0
ORCL,full,7,2772,252,4.012114904798399,8.904871344701641,160.62098909556744,180.5467480383994,0.05014430014430027,0.5920190011153952,False,0.0
ORCL,full,8,3024,252,4.41984460812367,3.4516051464226285,162.38051912332136,182.58998072413598,0.11706349206349209,0.0031499361838505865,True,0.0
ORCL,full,9,3276,252,4.345364649531283,15.973775797163666,164.02372303166126,205.7228805462424,0.0827228327228327,0.07744330087312522,False,0.007936507936507936
ORCL,full,10,3528,252,5.175965445790737,7.434543103687047,167.37396692984845,237.3731518502357,0.0790816326530612,0.10070785010808513,False,0.003968253968253968
ORCL,full,11,3780,252,5.326537289650491,-2.5754227708691775,172.925302100035,369.0374397486821,0.1841269841269841,1.7932156191793518e-07,True,0.003968253968253968
GOOGL,full,0,1008,252,7.561871747465271,-2.714004128556538,160.4572045603542,136.19104928657268,0.05952380952380951,0.46243054693798913,False,0.0
GOOGL,full,1,1260,252,5.50669657226091,11.604752182011172,155.96059424552513,182.63036711595416,0.04841269841269841,0.6964515544542726,False,0.003968253968253968
GOOGL,full,2,1512,252,6.5230391738859534,5.551470822385888,160.7292621918979,103.73288722068054,0.11044973544973546,0.009692223421033026,True,0.0
GOOGL,full,3,1764,252,6.3842436951002295,9.203000585448596,153.88525193208864,123.7116954943843,0.0839002267573696,0.08592606322290364,False,0.0
GOOGL,full,4,2016,252,6.736588306393775,4.314826827876188,150.4477613468035,170.94210457157388,0.07043650793650791,0.2086552524689388,False,0.0
GOOGL,full,5,2268,252,6.467503697669598,-3.8985798525210753,152.86255538133153,203.2382264149045,0.03747795414462081,0.898121498527275,False,0.003968253968253968
GOOGL,full,6,2520,252,5.430895342650531,23.836260179359655,158.65217752524683,210.5821061513586,0.12896825396825407,0.0008968507963078797,True,0.0
GOOGL,full,7,2772,252,7.104110327805906,11.707031264134207,164.13905387829683,157.65631280070775,0.051587301587301626,0.5557148093676451,False,0.0
GOOGL,full,8,3024,252,7.487687072499932,-10.33250719843306,163.61358270895448,248.37581227270985,0.17294973544973544,1.5239283641063565e-06,True,0.0
GOOGL,full,9,3276,252,6.116902897812777,13.543964376960247,171.69215052350222,173.6298927838061,0.09645909645909656,0.024217459725412158,True,0.0
GOOGL,full,10,3528,252,6.647407289180455,5.926613710687945,171.8419311023123,180.7282197195546,0.07681405895691618,0.11910528530469676,False,0.0
GOOGL,full,11,3780,252,6.599354383947619,19.93826569613752,172.4486907845853,191.8372811125426,0.07169312169312181,0.16894789521803727,False,0.0
META,full,0,1008,252,16.57659819620061,12.64906503391485,244.6019300745806,110.03000070292538,0.18353174603174605,2.188240491552414e-06,True,0.0
META,full,1,1260,252,15.791091563743462,1.6234932755035067,224.2495744713548,212.92759134194867,0.07301587301587303,0.20611932899770732,False,0.003968253968253968
META,full,2,1512,252,13.429825182370136,1.1880123805576939,222.46527248663497,207.97592843523324,0.05423280423280419,0.536262097586626,False,0.0
META,full,3,1764,252,11.680994782111215,12.629303354580678,220.49529464046756,260.7290894938314,0.07426303854875282,0.16918056980212767,False,0.0
META,full,4,2016,252,11.799533353669897,14.377737401457562,225.91692878589072,213.16936926387572,0.07192460317460314,0.18965131806580113,False,0.0
META,full,5,2268,252,12.086000470090749,-29.521966032335932,224.53773705454532,348.73721844590324,0.1296296296296296,0.0008967538793772638,True,0.003968253968253968
META,full,6,2520,252,7.925203819848081,24.53836324845728,240.19377726585492,342.4573775469849,0.0988095238095239,0.021522702534592014,True,0.0
META,full,7,2772,252,9.435491040630737,17.33091400777636,251.26199080072283,228.009306145942,0.045454545454545525,0.711847298514342,False,0.0
META,full,8,3024,252,10.093442954559537,17.945703568141795,249.41662849151606,227.6613343335037,0.030423280423280463,0.9787900817908101,False,0.0
META,full,9,3276,252,10.697463001758173,-10.980037390091862,247.81979387036122,242.23075023663984,0.08089133089133083,0.08921615558818478,False,0.0
NFLX,full,0,1008,252,17.692408520069677,0.2700808180013467,401.60575646858615,272.9868185987968,0.10119047619047616,0.030839326399087895,True,0.0
NFLX,full,1,1260,252,14.207942979656012,19.865899875372563,379.45048890350904,321.18427720915463,0.04999999999999993,0.6577291931770358,False,0.0
NFLX,full,2,1512,252,15.150935795608769,14.885943750958456,370.3825465280133,237.9034630519344,0.12764550264550262,0.001626411181188318,True,0.0
NFLX,full,3,1764,252,15.113079789230158,30.56521806090129,354.5011590867212,208.3199533015753,0.11791383219954654,0.004054487557247245,True,0.0
NFLX,full,4,2016,252,17.044597073189042,7.134006150004426,339.7248202599777,285.03045129954046,0.041666666666666685,0.8195150922581044,False,0.0
NFLX,full,5,2268,252,15.94342030394631,-4.852666821834577,334.1046563700538,246.91966927786612,0.059964726631393295,0.3767565882776779,False,0.0
NFLX,full,6,2520,252,13.863811591368224,17.200428449780617,326.4953055199148,277.34795237753394,0.031746031746031744,0.9705708753311676,False,0.0
NFLX,full,7,2772,252,14.167140396678436,-11.782821651411368,322.338592853919,261.94808000962456,0.11327561327561331,0.0049527311777450185,True,0.0
NFLX,full,8,3024,252,12.004643559337621,-8.68453903281813,317.8256772343473,429.5047057387208,0.10879629629629628,0.007572611549943945,True,0.003968253968253968
NFLX,full,9,3276,252,10.41316797532564,28.221520319817948,327.81647556952754,225.77975361453989,0.08455433455433459,0.06701096199308236,False,0.0
NFLX,full,10,3528,252,11.68519314278938,18.68851674043601,321.6362545524992,197.00130515106957,0.0941043083900227,0.029285444103395637,True,0.0
NFLX,full,11,3780,252,12.152081382632486,-2.6353969983582597,314.87072631997745,214.79118966892491,0.10105820105820096,0.015038511932471589,True,0.0
DIS,full,0,1008,252,9.351769763695497,11.42404778869981,147.02470214756337,111.45362613059251,0.0813492063492064,0.1342452049798466,False,0.003968253968253968
DIS,full,1,1260,252,9.76622536869636,-2.718352838254608,140.63456076864404,146.52438476554804,0.050793650793650724,0.6383174807973754,False,0.003968253968253968
DIS,full,2,1512,252,7.685462334204532,5.162962126115539,141.70960975885436,82.56107462178221,0.12499999999999999,0.0021768635274287134,True,0.0
DIS,full,3,1764,252,7.325105161620391,-3.2169779755101815,134.8604919574305,113.21710726403205,0.08730158730158721,0.06632334362552655,False,0.0
DIS,full,4,2016,252,6.007344769479068,3.8198597172451163,132.3946859731811,121.58135541542428,0.03571428571428581,0.9299731237200551,False,0.0
DIS,full,5,2268,252,5.764290874786408,-5.361207746535619,131.23901113373344,220.56230743471846,0.07936507936507936,0.11000297309039636,False,0.015873015873015872
DIS,full,6,2520,252,4.651741012654205,27.7724720429247,142.7488118685353,266.8989809519181,0.1432539682539682,0.00014801552603259228,True,0.011904761904761904
DIS,full,7,2772,252,6.753625651769704,-12.270759572411452,158.25562463821097,156.2009800780099,0.09271284271284269,0.035696136659060906,True,0.0
DIS,full,8,3024,252,5.168260216421275,-14.834351671104836,158.17284396972707,229.3309155300769,0.17294973544973546,1.5239283641063565e-06,True,0.003968253968253968
DIS,full,9,3276,252,3.62959776353465,7.654883382544059,164.82759731259875,171.9971082077318,0.06043956043956045,0.34788464721439927,False,0.0
DIS,full,10,3528,252,3.917118164892467,-5.136523139914241,165.3532646164341,150.29258183428712,0.039399092970521465,0.8462919571759173,False,0.0
DIS,full,11,3780,252,3.313542077905353,-2.337370320169306,164.40766277443294,194.11012047231048,0.09100529100529098,0.03776869572395804,True,0.0
AMZN,full,0,1008,252,10.473406672367627,-0.3821366547413723,207.16350842015615,208.67065205368596,0.04265873015873012,0.8476373913247838,False,0.0
AMZN,full,1,1260,252,8.30229800694583,15.858611101366337,207.5112489331816,223.10048919842916,0.05793650793650795,0.4699382879337553,False,0.0
AMZN,full,2,1512,252,9.561683522682578,16.70690696821183,210.20862732292895,136.0907315521019,0.12367724867724866,0.0025126349035889564,True,0.0
AMZN,full,3,1764,252,10.582429729186758,23.60252035751259,201.3137033085734,144.02424189670788,0.11224489795918369,0.007246439749947781,True,0.0
