run,data,grid,train_rows_fold0,fold0_test_opens,reproduces_committed_max_abs_diff,n_folds,r2_pooled,r2_fold_mean,r2_fold_sd,r2_fold_median,r2_fold_mean_excl_worst,worst_fold,da,majority,da_minus_majority,r2_fold_00,r2_fold_01,r2_fold_02,r2_fold_03,r2_fold_04,r2_fold_05,r2_fold_06,r2_fold_07,r2_fold_08,r2_fold_09,r2_fold_10,r2_fold_11,r2_fold_mean_excl_fold6
A,frozen CSV,frozen,1008,2014-05-29,6.938893903907228e-18,12,-0.025129781665680806,-0.020407546119595926,0.03574732980714953,-0.008662857645346578,-0.0135748329974324,4,0.5241305890702626,0.535486160397445,-0.011355571327182457,-0.008617985580052112,-0.08432008352956699,-0.007455723073990228,0.01359676412062416,-0.09556739046339469,-0.02572851796705078,-0.030217748003894984,0.0027572573062890626,0.0015214761631808793,-0.021488014334502648,-0.008707729710641043,0.019337141637848276,-0.019515709584659646
B,frozen CSV,sweep,959,2014-03-19,,12,-0.11092269617775918,-0.07488159187889033,0.15442570301511055,-0.03756848582806416,-0.03128254739101602,6,0.5040852575488455,0.5349911190053286,-0.030905861456483108,-0.036278864397845556,-0.03885810725828276,-0.0811438004827747,0.01947964013450265,-0.03562402737445014,-0.03214272844245425,-0.5544710812455078,-0.0787867271163365,0.024844189494146796,-0.039972189968429994,-0.04033161385870376,-0.005293792030548028,-0.03128254739101602
C,sweep cache,frozen,1057,2014-05-29,,12,-0.024400408366485937,-0.020025519942403702,0.034945003248857555,-0.022574601510018777,-0.015273694408418415,4,0.5236066737664182,0.5353212637557685,-0.011714589989350266,-0.04887888083029357,-0.06924855510658401,0.04479361140768878,0.014859094061306255,-0.07229560081624187,-0.02211671823335215,-0.03725532037131485,-0.023032484786685403,0.016118670474806196,-0.028835881538467056,-0.008569861413580737,-0.005844312156126019,-0.018459174448866324
D,sweep cache,sweep,1008,2014-03-19,1.0408340855860843e-17,12,-0.12077814028036382,-0.07882908059395488,0.17893044558092583,-0.04005149829132326,-0.028069213537560686,6,0.511727078891258,0.5348258706467661,-0.023098791755508108,-0.046161591409339175,-0.04555474319147401,-0.07024510632336911,0.007478688949192791,-0.049324944172813634,-0.0299865051779844,-0.637187618214291,-0.06703517987668284,0.03619508063316512,-0.03454825339117251,-0.028930061238286342,0.01935126628559658,-0.028069213537560686
C',sweep cache minus its 49 early rows,frozen,1008,2014-05-29,,12,-0.026859146285980184,-0.023903706438066597,0.03092810713221223,-0.01838755171648243,-0.017322577149246867,4,0.5211217607383741,0.5353212637557685,-0.014199503017394366,-0.01653287205236853,-0.06583295700240055,-0.004041270103127159,0.010639739082951793,-0.09629612861508363,-0.02024223138059633,-0.027724062816662842,0.0036569511227054763,0.00045898104272801277,-0.03826688120605182,-0.02579516596434006,-0.00686857936455354,-0.02355640131273967
