model,lag_days,cost_bps,n,alpha_ann,t_alpha,p_alpha,beta,sharpe_net,ann_return_net
Tree Ensemble,0,0.0,2520,0.11013658282767878,2.5465425833927435,0.010938648399783611,0.6623826168346769,1.3193966159154316,0.32618615089132774
Tree Ensemble,0,7.5,2520,0.07397973775590366,1.710642466183589,0.08727031022652151,0.6626540250427805,1.16550720996648,0.2792260295615936
Tree Ensemble,0,10.0,2520,0.06192745606531229,1.4318429814200877,0.15231287570461455,0.6627444944454808,1.1141903477733266,0.2639413339864094
Tree Ensemble,1,0.0,2519,-0.017868656399495537,-0.4095956975867527,0.6821374076343565,0.6543279783224969,0.7683986580608517,0.1645099567857211
Tree Ensemble,1,7.5,2519,-0.05393347064374484,-1.2356053407808252,0.2167206078235761,0.6542467587562618,0.6138963726389521,0.12324676653488198
Tree Ensemble,1,10.0,2519,-0.06595507539182817,-1.5105893275968407,0.13101863931643917,0.6542196855675171,0.5623841763843368,0.10981654527352824
