ticker,fold_id,n,r2_oos,DA,da_minus_majority,ks_stat,ks_p,ks_reject_5pct,test_outside_train_range
AAPL,0,252,-0.046161591409339175,51.082251082251084,-5.627705627705626,0.0892857142857142,0.077466352858903,False,0.0
AAPL,1,252,-0.04555474319147401,49.166666666666664,-3.3333333333333384,0.0730158730158729,0.2061193289977073,False,0.0
AAPL,2,252,-0.07024510632336911,54.58715596330275,-0.9174311926605561,0.119047619047619,0.0041012451060149,True,0.0
AAPL,3,252,0.007478688949192791,55.895196506550214,3.9301310043668103,0.0861678004535148,0.0723852743039805,False,0.0
AAPL,4,252,-0.049324944172813634,50.20746887966805,-3.734439834024894,0.0471230158730159,0.6885272412848389,False,0.0
AAPL,5,252,-0.0299865051779844,49.35622317596567,-6.008583690987123,0.0679012345679012,0.237897934675845,False,0.0119047619047619
AAPL,6,252,-0.637187618214291,44.76987447698745,-8.786610878661083,0.1412698412698413,0.000192284200433,True,0.0
AAPL,7,252,-0.06703517987668284,53.38983050847458,0.0,0.0447330447330447,0.7300245830611044,False,0.0
AAPL,8,252,0.03619508063316512,52.04918032786885,0.0,0.1226851851851851,0.0016719768204397,True,0.0
AAPL,9,252,-0.034548253391172734,50.64377682403433,-0.42918454935622075,0.0873015873015873,0.0536174572418569,False,0.0
AAPL,10,252,-0.028930061238286342,51.70940170940172,-7.264957264957261,0.066609977324263,0.2383437320665592,False,0.0
AAPL,11,252,0.01935126628559658,51.69491525423729,-0.423728813559332,0.1087301587301586,0.0069784475339455,True,0.0039682539682539
AMZN,0,252,-0.1371060953083505,49.166666666666664,-1.6666666666666663,0.0426587301587301,0.8476373913247838,False,0.0
AMZN,1,252,-0.08160773936101551,54.66101694915254,4.23728813559322,0.0579365079365079,0.4699382879337553,False,0.0
AMZN,2,252,-0.08043172078752048,51.96506550218341,-5.676855895196509,0.1236772486772486,0.0025126349035889,True,0.0
AMZN,3,252,-0.11841966022987016,48.728813559322035,-9.322033898305088,0.1122448979591836,0.0072464397499477,True,0.0
AMZN,4,252,0.07736539497095485,55.319148936170215,-0.8510638297872353,0.0610119047619047,0.3635939158786139,False,0.0
AMZN,5,252,-0.010739863361639124,51.26050420168067,0.0,0.0890652557319224,0.0520902010085881,False,0.0
AMZN,6,252,-0.19402048497280844,42.083333333333336,-12.916666666666671,0.0789682539682539,0.1099093844660092,False,0.0
AMZN,7,252,-0.08958851103596976,52.320675105485236,0.42194092827004814,0.0468975468975468,0.6750740865905533,False,0.0
AMZN,8,252,-0.09892470122003272,51.821862348178136,0.4048582995951344,0.1739417989417989,1.2953016950308576e-06,True,0.0039682539682539
AMZN,9,252,-0.05011719625052824,47.008547008547005,-7.264957264957261,0.0644078144078145,0.275964308686446,False,0.0
AMZN,10,252,-0.013177613000207256,47.03389830508475,-4.237288135593214,0.0300453514739229,0.9801362690178458,False,0.0
AMZN,11,252,0.003588013299025805,52.04918032786885,0.8196721311475419,0.0558201058201057,0.4394993979452005,False,0.0
AVGO,0,252,-0.03063354160343157,53.97489539748954,-4.184100418410042,0.0773809523809523,0.1733278455584377,False,0.0079365079365079
