ticker,mean_pred_bps,std_pred_bps,std_true_bps,std_ratio,frac_positive,sign_flip_rate,mean_realised_bps
AAPL,-2.3488489517845283,66.16187764828668,178.07463080197962,0.37154016465073686,0.560515873015873,0.3337743962950711,9.013264319710588
AMZN,8.72117889882232,57.75940339936085,206.15006402023525,0.2801813507741201,0.5730820105820106,0.32484287131988093,7.917087307131926
AVGO,1.869466841482905,81.8941726114713,243.14525530376582,0.3368117239596529,0.5810185185185185,0.3231888852133642,13.806980005647873
BA,-17.78454938685019,122.95399993735853,244.88888735211444,0.5020807651454132,0.5062830687830688,0.35825339067151835,1.9858528757508114
BAC,-9.630852554609488,66.8910943740438,189.68262295026128,0.3526474557006945,0.49933862433862436,0.369500496195832,4.217728165803911
BRK-B,-3.9977352933923664,53.03983323284257,119.05799146537808,0.44549578386148475,0.5248015873015873,0.3516374462454515,4.462383794217125
CAT,-6.84873831828594,56.24563719172666,186.3113478397131,0.3018905603115262,0.49437830687830686,0.3572609990076083,7.575602009445248
CRM,7.282201952001546,74.95713250672425,219.14969732994916,0.34203621278047985,0.5515873015873016,0.35891498511412506,3.7953958592452075
DIS,-9.939159158075302,58.087565029065104,172.38326259956835,0.3369675463446679,0.52744708994709,0.342375124048958,0.8298901494690808
GOOGL,-7.667326110940497,53.644127509853,177.99489442794078,0.30138014734782304,0.47685185185185186,0.33873635461462126,7.390091205457561
GS,-9.64778297776852,64.16716128638436,179.59344628115954,0.35729121866690233,0.5062830687830688,0.3787628183923255,6.020759423139828
HD,-2.4497080660172474,63.85062238049162,151.24633688381982,0.42216309958990017,0.628968253968254,0.3122725769103539,5.6049703387813885
JNJ,-0.8549042316170443,28.494785218382727,113.21307750347266,0.2516916406367337,0.5125661375661376,0.3112801852464439,4.1879678283484765
JPM,-9.12868299799902,71.72911376084978,167.2326391908616,0.42891814724627875,0.564484126984127,0.344359907376778,6.401465499730121
KO,-2.4039229025166495,35.79714486690981,111.07143804252537,0.32228937968016885,0.517526455026455,0.30929540191862387,3.4418887523267676
MCD,-10.266960160394758,58.023873819095684,124.35556529678067,0.4665965184639614,0.5142195767195767,0.34270592127026134,4.839852877973049
META,16.857842808847852,59.99291169746162,248.61988349420164,0.24130375597598083,0.6242063492063492,0.3243350535926955,6.178058884796192
MRK,2.5068234860320073,31.43003178132896,140.65329563250955,0.2234574855853179,0.5578703703703703,0.3585841878928217,3.853213947492573
MSFT,-5.126042828419526,55.17190990371209,167.1322992689178,0.3301092017823548,0.4923941798941799,0.34601389348329475,7.958012373331145
NEE,-2.137685718071027,42.04309988493193,152.40490482517055,0.27586448043231393,0.5171957671957672,0.3149189546807807,5.508367775337002
NFLX,9.408263564421915,88.25306704703273,272.0931280979911,0.3243487539135845,0.6127645502645502,0.33178961296725107,9.07301580507086
NKE,-2.781518439105425,56.75261276506595,192.43615073972822,0.29491658686222844,0.5251322751322751,0.328812437975521,1.3957833281559495
NVDA,-0.7372323301744717,78.8954783739267,295.77503596428426,0.26674150547125136,0.5496031746031746,0.3456830962619914,19.783933523300185
ORCL,2.086807819971773,49.43705656462502,198.34661518936477,0.24924577874659798,0.5198412698412699,0.3456830962619914,4.890165799300345
PFE,-4.858475514187341,37.25657661869079,144.76363350856693,0.25736143612674656,0.47023809523809523,0.3304664240820377,1.3648192947585531
PG,-1.6553001765476223,33.098744641432766,114.4245306769035,0.28926266461946454,0.5208333333333334,0.35196824346675487,3.0339678480384533
TSLA,27.497562527180413,86.70170725564121,362.30588955062854,0.23930526595407586,0.6158008658008658,0.3579935041501263,11.19071498882353
UNH,3.093446791949566,54.66671130848495,183.82841667685855,0.2973790031852389,0.5568783068783069,0.3192193185577241,4.733214477298155
WMT,0.1142919087491805,26.03614477096986,133.20955929006385,0.19545252540229596,0.5095899470899471,0.3804168044988422,6.0173320382386795
XOM,-13.650656814866585,68.87021415474216,169.10363388605128,0.4072663169447301,0.4497354497354497,0.343367515712868,3.4954855346496214
