ticker,model,n,DA,majority,DA_minus_majority,PT_p,R2_OOS,RMSE_bps,alpha_ann,t_alpha,p_alpha,beta,exposure
AAPL,AR(1) returns,3024,53.624733475479744,53.482587064676615,0.1421464108031345,0.07257736211033713,-0.002633552249797555,178.31761833396538,-0.0008705759830929799,-0.035391684751744826,0.9717697526068151,0.9001406726276744,0.9451058201058201
AAPL,"ARIMA(5, 0, 0) returns",3024,52.55863539445629,53.482587064676615,-0.9239516702203243,0.48967611150718526,-0.006078412131749422,178.62368852075656,-0.0181381497752571,-0.5618633470866944,0.5742507952412437,0.8087658925618981,0.8683862433862434
AAPL,BiLSTM,3024,53.02061122956645,53.482587064676615,-0.46197583511016216,0.17363811374442667,-0.0031013580059682244,178.35921293257738,-0.0001423796851660712,-0.006205711262647166,0.9950490001824375,0.9142038962727496,0.8687169312169312
AAPL,Historical mean,3024,53.482587064676615,53.482587064676615,0.0,,0.0,178.0832767132236,-3.138806149977792e-05,-1.002480382916591,0.3161918978699186,1.0000005166827706,1.0
AAPL,Hybrid meta (+VIX),2520,53.56380708493384,53.77720870678617,-0.21340162185232714,0.7631748145772446,-0.0009359624148885803,181.88733798438236,-0.0019181470291767006,-0.16699334921556977,0.8673886908438405,0.984108225882675,0.9908730158730159
AAPL,Hybrid meta (no VIX),2520,53.819889031156634,53.77720870678617,0.042680324370458766,0.3514359078269199,-0.00021417931316092265,181.82174593464515,0.0037101860150346166,0.3024851157778798,0.7623072621102454,0.9817630445538142,0.9880952380952381
AAPL,Random sign,3024,50.923951670220326,53.482587064676615,-2.558635394456288,0.16883610609190292,-0.8720150552215573,243.65639065078219,0.02079196749955433,0.5074736552269418,0.6118595483769081,0.4859533934723563,0.49834656084656087
AAPL,Transformer,3024,53.447050461975834,53.482587064676615,-0.03553660270078085,0.06129852981067641,-0.009877450665327858,178.9606199481832,0.052084484128883675,1.555020794208485,0.12004582985052965,0.7875714989471758,0.8108465608465608
AAPL,Tree Ensemble,3024,51.1727078891258,53.482587064676615,-2.309879175550811,0.24566982892740002,-0.12077814028036382,188.53108372226524,0.02239018149380547,0.5521977380231969,0.5808537185796797,0.5729245179449901,0.560515873015873
AAPL,Zero return,3024,46.517412935323385,53.482587064676615,-6.96517412935323,,-0.0021338860622484024,178.27318017017498,0.0,,,0.0,0.0
AMZN,AR(1) returns,3024,52.664796633941094,53.015427769985976,-0.3506311360448877,0.8617063396708214,-0.00044667640674589393,206.21172425410614,0.022343725913047986,1.078307812108371,0.28098247348007044,0.9495784402387136,0.9854497354497355
AMZN,"ARIMA(5, 0, 0) returns",3024,52.84011220196353,53.015427769985976,-0.1753155680224494,0.24443737225807138,-0.0020697635438597928,206.3789315446295,-0.0010490053109868196,-0.03237047119346743,0.9741787484022956,0.8655639579182818,0.9083994708994709
AMZN,Historical mean,3024,53.015427769985976,53.015427769985976,0.0,,0.0,206.1656847211027,-3.239958126930566e-05,-1.0354896725026381,0.3005231385895539,1.0000045401969224,1.0
AMZN,Random sign,3024,51.12201963534362,53.015427769985976,-1.8934081346423604,0.14254922707487844,-0.9335008361788866,286.67416939571496,-0.0012402210068160407,-0.026160257159195167,0.9791312424791024,0.5183424382314766,0.49834656084656087
AMZN,Tree Ensemble,3024,50.28050490883591,53.015427769985976,-2.7349228611500687,0.713848219013483,-0.06666180271374866,212.9265181263855,0.014186650048920108,0.299071203121534,0.7649062825996621,0.5218919057979843,0.5730820105820106
AMZN,Zero return,3024,46.984572230014024,53.015427769985976,-6.030855539971952,,-0.0009925136835529091,206.26797047897588,0.0,,,0.0,0.0
AVGO,AR(1) returns,3024,53.13152400835073,53.40988169798191,-0.27835768963118124,0.1711581998298195,0.0015298032292871966,242.971172785563,0.08724285357018675,1.8569670376300773,0.06341307783311267,0.7715901451035567,0.8621031746031746
AVGO,"ARIMA(5, 0, 0) returns",3024,53.201113430758525,53.40988169798191,-0.20876826722338038,0.052699003469216174,0.004675291640986123,242.588153904904,0.08383077184852772,1.795214288807226,0.0727194481063336,0.7758597105678756,0.7827380952380952
AVGO,Historical mean,3024,53.40988169798191,53.40988169798191,0.0,,0.0,243.15723533449062,-3.058217385445448e-05,-0.976173556580623,0.32905659858596853,0.9999984202453965,1.0
AVGO,Random sign,3024,50.52192066805845,53.40988169798191,-2.887961029923458,0.4084847760396224,-0.843875707449516,330.18171440625457,-0.003275616119583495,-0.05848794123503215,0.9533638345530138,0.4691851321297752,0.49834656084656087
AVGO,Tree Ensemble,3024,52.435629784272784,53.40988169798191,-0.9742519137091232,0.021084511929243543,-0.09423325205144306,254.35609622912338,0.00165201744475345,0.030931147128371837,0.9753264925280113,0.6532230569357971,0.5810185185185185
AVGO,Zero return,3024,46.59011830201809,53.40988169798191,-6.819763395963818,,-0.002795017470332395,243.49681257937635,0.0,,,0.0,0.0
BA,AR(1) returns,3024,51.63790066924974,51.743571680169076,-0.10567101091933928,0.15144076641024723,0.0011333851133307205,244.76918654456136,0.03786877623898658,0.7202757788226952,0.4714109205746305,0.6728515770373025,0.7979497354497355
BA,"ARIMA(5, 0, 0) returns",3024,50.158506516379006,51.743571680169076,-1.585065163790067,0.5957968439683419,-0.049893757686892304,250.9433390080043,-0.1209832330718738,-2.1851944149546165,0.028951134100447234,0.576875172378443,0.6243386243386243
