Model,Directional Accuracy (%),F1 Score,Precision,Recall,RMSE,MAE,MAPE (%),R2,Max Error
Tree Ensemble,49.38,0.4932,0.4985,0.4986,17.5594,10.4353,9.27,0.9482,67.7621
BiLSTM,50.71,0.5036,0.5163,0.5154,57.2456,43.0059,40.48,0.4488,140.2789
Transformer,47.8,0.4162,0.5063,0.5031,29.2396,19.6881,17.59,0.8562,92.2084
Hybrid Meta (Regressor),49.38,0.4938,0.4957,0.4957,14.8918,9.9465,9.89,0.9627,60.9615
Hybrid Meta (Classifier),51.570247933884296,0.45493987165650435,0.4877083333333333,0.49188722416562164,,,,,
Naive (Zero-Change),49.75,0.497,0.4976,0.4976,2.2144,1.2851,1.23,0.9992,26.2684
"ARIMA (5,1,0)",46.48,0.3207,0.4632,0.4993,25.8503,17.6305,16.3,0.8876,80.4531
