Date,Open,High,Low,Close,Volume,SP500,VIX,TNX_Yield,hl_range,oc_ret,clv,close_to_sma20,close_to_sma50,close_to_ema12,close_to_ema26,macd_norm,macd_signal_norm,macd_hist_norm,RSI_14,bb_position,BB_Width,atr_pct,Volatility_20,Log_Return,Return_1d,Return_5d,Return_10d,Return_21d,obv_change,Volume_Ratio,log_volume_change,DayOfWeek,SP500_Return_1d,SP500_Return_5d,Corr_SP500_20,VIX_Change,TNX_change
2010-03-16,13.965587661413105,14.108559933590893,13.919915374195034,13.975515365600586,10107200,1159.4599609375,17.690000534057617,3.6530001163482666,0.013498218452837185,0.0007106165132888911,0.29473412133523436,0.046807923519336825,0.08117090434369745,0.02372394633107966,0.04876410063526082,0.023322565726720996,0.01903483451503116,0.004287731211689835,91.22458038562908,0.8388438918612195,0.1381400816579832,0.01440559172359203,0.007434318752541942,-0.00014274566812975804,-0.00014273548045162787,0.021035246725966905,0.0386894064651202,0.13077329902779544,-1.0992467366928196,1.0992467366928196,0.06048364315221022,1,0.0077791163013856135,0.016668868060444986,0.9095684572056856,-0.3099994659423828,-0.05099987983703613
2010-03-17,13.977504301654266,14.164162751466009,13.955661227102404,14.074804306030273,14751600,1166.2099609375,16.90999984741211,3.6419999599456787,0.014813813380998391,0.006937068598036106,0.5714254299927436,0.04905113964568675,0.08691826376353329,0.026103735581789467,0.05183511482882941,0.02384098155511019,0.019888640842247635,0.0039523407128625575,90.19822935356221,0.853368370869798,0.1388102135143012,0.01308366537619267,0.007225920075522698,0.007079374229464343,0.007104492237479665,0.02546246902368643,0.052100290162498286,0.11805266365585032,1.56928242104972,1.56928242104972,0.3781035103168584,2,0.005821675803744153,0.01798166553132452,0.9111674424987245,-0.7800006866455078,-0.01100015640258789
2010-03-18,14.56527350255708,14.96241798259946,14.555345799547599,14.825404167175293,43696000,1165.8299560546875,16.6200008392334,3.671999931335449,0.027457746072997696,0.01770203875064497,0.663416396986096,0.09649483645460144,0.141622540655169,0.06755055209924032,0.09914144254116497,0.02692277581683604,0.020489909438286345,0.006432866378549694,92.88888589135942,1.109818529495042,0.15823532898168227,0.015087317587983937,0.012637253306430422,0.051955936781229436,0.05332932841015969,0.07039353939504611,0.10394746522389609,0.1625182831068095,3.880081196133416,3.880081196133416,1.0859050132521908,3,-0.0003258460273372066,0.01355366354210652,0.9047059876431311,-0.28999900817871094,0.029999971389770508
2010-03-19,14.74597504384967,14.75788889351658,14.519602810262592,14.599030494689941,18789600,1159.9000244140625,16.969999313354492,3.687000036239624,0.01632204846346874,-0.01001504512855077,0.33332908078142875,0.07232905965131708,0.12125200496711597,0.04302596778478662,0.07579529883573555,0.029204031803536125,0.022486908381353296,0.0067171234221828306,80.68392455618475,0.9458250583865447,0.162236414476903,0.015743365387506054,0.013515805915039461,-0.015387085017383475,-0.015269308676694404,0.05178737013599144,0.0761118827319962,0.14547841416244833,-1.6023605260016032,1.6023605260016032,-0.843953039451673,4,-0.005086446449439896,0.008617496033741734,0.9061506276370495,0.34999847412109375,0.015000104904174805
2010-03-22,14.473928046030084,14.726115597294639,14.460028052140473,14.670514106750488,11696000,1165.81005859375,16.8700008392334,3.6630001068115234,0.018137574676522654,0.013490671134255868,0.7910405824431136,0.06991229040258373,0.12389930643598435,0.04042863479287795,0.07461022318445587,0.03057236077534969,0.024016343012594563,0.006556017762755126,83.2744565075513,0.9294470645849003,0.16279605914251563,0.016336269702371974,0.01341103200005115,0.004884514272980051,0.004896462959409931,0.049579906010187136,0.07352421683318244,0.15269696105476105,0.9772923253808565,0.9772923253808565,-0.4740566222722542,0,0.005095296193887933,0.013298492580035681,0.9115225577395867,-0.09999847412109375,-0.023999929428100586
2010-03-23,14.773779991600408,14.811507699861682,14.688393838714669,14.791650772094727,8986000,1174.1700439453125,16.350000381469727,3.680000066757202,0.008323199556554866,0.0012088971619297168,0.8387108001563535,0.07051774774907571,0.130073980199922,0.04116766830824781,0.07682440546273628,0.03180358196077227,0.02541644475607831,0.006387137204693963,87.7915018427816,0.9407488733242214,0.15999529740454388,0.016147929289932028,0.013206018038830203,0.008223248255178183,0.008257152030445747,0.05839751774041768,0.08066117066023848,0.16293797049828918,0.7469584675797083,0.7469584675797083,-0.2635790923594534,1,0.007170966908320198,0.012687012491503724,0.9064769637600748,-0.5200004577636719,0.01699995994567871
2010-03-24,14.763855872487206,14.771798949336343,14.49776961548259,14.571240425109863,11069200,1167.719970703125,17.549999237060547,3.8289999961853027,0.018806177501644507,-0.013132270885683743,0.2681129275939312,0.048007400104180364,0.11029407554252191,0.021621249211763116,0.056024297693157976,0.031888427173748325,0.02701840859801813,0.0048700185757301956,77.99402828730625,0.8168203375319982,0.1515287809194066,0.017161140428617848,0.01408462094285105,-0.015013132420949924,-0.014900997216664935,0.03527126262543456,0.061631825081147174,0.14882429944066544,-0.922227369220874,0.922227369220874,0.20849866607182221,2,-0.005493304207041971,0.0012948009502604663,0.9005291850591811,1.1999988555908203,0.14899992942810059
2010-03-25,14.728110888494975,14.849240143626453,14.601024705240114,14.608967781066895,11321600,1165.72998046875,18.399999618530273,3.9010000228881836,0.016990621247589037,-0.00812240126512584,0.032000731132646176,0.0449942370546601,0.11014235737040257,0.02045673328071973,0.05417026151515647,0.03133998968459324,0.02782690523197335,0.003513084452619889,76.86782463789845,0.8070996996636147,0.1465134499532841,0.017621678879765824,0.013793605858384945,0.00258581958787566,0.0025891657028744852,-0.014599020955368469,0.05476684168292678,0.13760766478350295,0.9618720890914312,0.9618720890914312,0.022545928823483052,3,-0.001704167338318907,-8.575486109130281e-05,0.889962208835375,0.8500003814697266,0.07200002670288086
2010-03-26,14.65463555355729,14.843278622362003,14.569249408575018,14.672506332397461,8661600,1166.5899658203125,17.770000457763672,3.8550000190734863,0.01867637386408333,0.001218719582125417,0.3768098978476423,0.04467229732816236,0.11203380902866766,0.020984620078419614,0.054167166192887306,0.030830532180172367,0.028331228209842588,0.00249930397032978,76.43355578725753,0.8056289393027235,0.1461651401744798,0.01792237639883312,0.013268103299045337,0.00433985330177108,0.004349284102940665,0.005032925832591628,0.057080937961542455,0.12131402414537651,0.771854782655189,0.771854782655189,-0.2678129425287228,4,0.000737722599547963,0.005767687960545942,0.8999855203470801,-0.6299991607666016,-0.046000003814697266
2010-03-29,14.726126639946502,14.759883576850845,14.610954309933847,14.688397407531738,6522400,1173.219970703125,17.59000015258789,3.864000082015991,0.01013924547279961,-0.002565348536338297,0.5199991512820705,0.04138495623486005,0.11015081623357914,0.018628566184917927,0.051002972019251525,0.030240015622260412,0.028688464913720416,0.0015515507085399948,76.35966857850764,0.7831578417979751,0.14615507526413504,0.017999549275830064,0.013241195564419498,0.0010824650921312832,0.001083051168919269,0.001218996188621757,0.050859339915267476,0.09861592904901273,0.5921799274029391,0.5921799274029391,-0.28365705664798746,0,0.005683234964352302,0.006356020052111333,0.911580452636304,-0.18000030517578125,0.009000062942504883
2010-03-30,14.69633539204542,14.773778462813292,14.604992321780399,14.656620025634766,6461200,1173.27001953125,17.1299991607666,3.868000030517578,0.011516034442980848,-0.00270605736839652,0.30587642136768395,0.03472424521909856,0.1045407439727426,0.013862903174028274,0.044957349409422864,0.029349792104262386,0.028870490490469605,0.0004793016137927816,74.60610229623526,0.7432120532107475,0.14277353542309232,0.018048253576491324,0.013216121621614221,-0.002165777845630964,-0.0021634342410069562,-0.009128849006812989,0.04873556661177991,0.08595840515135267,-0.5957746582769635,0.5957746582769635,-0.009427347309097556,1,4.265937281555665e-05,-0.0007665196525014073,0.9167653451822128,-0.46000099182128906,0.003999948501586914
2010-03-31,14.593081830174553,14.714211086972442,14.551381817750386,14.595067977905273,7916000,1169.4300537109375,17.59000015258789,3.8329999446868896,0.011156458432982665,0.0001360927463265526,0.2682942549620403,0.025970459706261773,0.09693150672748563,0.008115380861754673,0.03745128724940727,0.028049269574732354,0.02880365114634495,-0.000754381571612596,70.3581373520363,0.69306097040995,0.13451946897357547,0.01781338739544704,0.0131589623617311,-0.00420845036826523,-0.004199607250637394,0.0016352453257411081,0.036964185118516735,0.08473584685132884,-0.7324665134371888,0.7324665134371888,0.20307096868285335,2,-0.00327287474868454,0.0014644632709182037,0.9160819279472175,0.46000099182128906,-0.03500008583068848
2010-04-01,14.686407524951665,14.771793676869438,14.64470752261784,14.69633674621582,8376400,1178.0999755859375,17.469999313354492,3.8589999675750732,0.008647471573779908,0.0006758539332116459,0.40625369332705946,0.02850942600882056,0.10122730547802394,0.012755943715460738,0.04120603631047626,0.026980016212230316,0.02828014117435734,-0.0013001249621270243,71.47312077259775,0.7260672954129834,0.12611034890565515,0.01798981475629873,0.013170624106314475,0.006914599880063584,0.006938560920980441,0.00598050228176672,-0.008705828151736927,0.09856022285118615,0.7677149838417278,0.7677149838417278,0.05653220017954119,3,0.0074138011482498545,0.010611372551483589,0.9129904153211817,-0.12000083923339844,0.026000022888183594
2010-04-05,14.732081256081067,14.857181275262109,14.618895091587762,14.716195106506348,7081600,1187.43994140625,17.020000457763672,3.99399995803833,0.016192105496684792,-0.0010789189098989436,0.4083325744485251,0.025772357234475685,0.09920737704898408,0.011925523124913351,0.03933229272483918,0.02605882789251967,0.027805349037865745,-0.0017465211453460748,70.26123086597565,0.7169101645222107,0.11881580926155381,0.018148659046190844,0.01311906613785864,0.0013503334842061457,0.0013512455949704627,0.002977594496750724,0.00802550634160415,0.09581540593259552,0.6501712281603761,0.6501712281603761,-0.16791835704526648,0,0.00792799084446738,0.017872582652703084,0.8755876507580904,-0.4499988555908203,0.13499999046325684
2010-04-06,14.603008941408167,14.724138180683816,14.595065866621137,14.676481246948242,8428000,1189.43994140625,16.229999542236328,3.9679999351501465,0.008794499982038781,0.005018698022515037,0.6307733351695797,0.01941319159264454,0.09261692152704559,0.007769132628517861,0.03373049205432266,0.024920631935877187,0.027288597578092575,-0.002367965642215387,68.83688484173774,0.6745416645816903,0.11122382252192212,0.017907837896697122,0.013179976844564959,-0.002702297895420334,-0.0026986499751248116,-0.0008112634927337492,0.00040674376878224727,0.08182086969945312,-0.7690412533875957,0.7690412533875957,0.17405962506734873,1,0.0016842957106795176,0.013825174398799378,0.8274511805753663,-0.7900009155273438,-0.026000022888183594
2010-04-07,14.688396386831998,14.732082544489787,14.555353281228182,14.612937927246094,8851200,1182.449951171875,16.6200008392334,3.86299991607666,0.012094026823455497,-0.0051505249276305705,0.32583535797531116,0.011748110377779453,0.08462365996638521,0.0028804006632354717,0.027029251585437564,0.023445770701597705,0.026614962221042426,-0.0031691915194447225,64.74439775910363,0.6158952289480419,0.10136836570401284,0.017830404887773047,0.013293042362172299,-0.004339001672790727,-0.004329601805293848,-0.0029803664359361326,-0.012082008127570543,0.0693110432142523,-0.7974384524043339,0.7974384524043339,0.04899354710630455,2,-0.005876707172041695,0.007824227575756737,0.7810468174613533,0.3900012969970703,-0.10500001907348633
2010-04-08,14.58712255834529,14.749951801406565,14.50769332673298,14.692365646362305,10410400,1186.43994140625,16.479999542236328,3.8959999084472656,0.016488731665452824,0.0071888921369939116,0.7622945379112265,0.013853299301842759,0.0871527611995373,0.0070407019651597125,0.030123163241398077,0.022250815820546235,0.025627027406846716,-0.003376211586300478,44.234280778180526,0.6529690369854306,0.09056276436242501,0.014596546592235856,0.013300953654694365,0.005420719386846317,0.005435438069446352,0.006666475867349586,0.008312622516591928,0.07340751237312126,0.9179906917027765,0.9179906917027765,0.1622522634321637,3,0.003374341747336196,0.01454545112923622,0.7283822070193531,-0.1400012969970703,0.03299999237060547
2010-04-09,14.730099453556225,14.948528772185297,14.624856332806848,14.928671836853027,12502000,1194.3699951171875,16.139999389648438,3.888000011444092,0.02168126159618757,0.013390666019865384,0.9386511104964269,0.026341467930610207,0.10093840675953492,0.019592495445265534,0.04308363511038049,0.02208809822178581,0.024594721061310058,-0.0025066228395242466,64.16428992918961,0.8140894475428014,0.08386613296626819,0.01445100461416401,0.0135421813836464,0.01595563314641387,0.016083603973552796,0.015809047836157664,0.02188409616458098,0.08767357244922458,1.0761332883438117,1.0761332883438117,0.18308332502920877,4,0.00668390656297202,0.013810389498699394,0.7093962398344753,-0.3400001525878906,-0.007999897003173828
2010-04-12,14.950513908092562,15.081570884402868,14.932641607012503,14.998170852661133,8867200,1196.47998046875,15.579999923706055,3.8459999561309814,0.009929829367421898,0.0031825761414817615,0.4400024118618672,0.027172111944210542,0.10210522385344101,0.02051780441333384,0.04423146010932033,0.022252619946130734,0.02403512657844596,-0.0017825066323152285,64.10306720664259,0.8569752458709372,0.07611763468641797,0.013844982494971169,0.013538160952096262,0.00464460227008107,0.004655405153761949,0.019160913817330316,0.02219556174561621,0.08286728661174503,0.7578505460469076,0.7578505460469076,-0.34352955582309797,0,0.0017666094762833762,0.007613049508671699,0.686789929498245,-0.5599994659423828,-0.04200005531311035
2010-04-13,14.978312647296562,15.077598823795945,14.843283386657927,14.9941987991333,7025200,1197.300048828125,16.200000762939453,3.811000108718872,0.015627072861776562,0.0010600481946761197,0.6440694129161727,0.02333736065865777,0.09796364805648228,0.017079327165769875,0.04056690831858312,0.022192869329794678,0.023671768768494486,-0.0014788994386998103,59.6960618978966,0.8429994324152825,0.06803906326895803,0.014293211780410977,0.013547505460678132,-0.000264870938653371,-0.0002648358634431691,0.02164807400623525,0.020819248221372044,0.08025727653441672,-0.6068752472784256,0.6068752472784256,-0.23285539112107756,1,0.0006854008197059169,0.006608242373786544,0.6471770813606411,0.6200008392333984,-0.034999847412109375
2010-04-14,15.014053382070461,15.063696462552116,14.892924144496298,15.051782608032227,6804400,1210.6500244140625,15.59000015258789,3.8550000190734863,0.011345654033342652,0.002509775266438184,0.9302353920244312,0.023508350284790813,0.09836135491744513,0.01769966951288704,0.04112637965382482,0.022109973393593774,0.02328696056800879,-0.0011769871744150174,77.25214091707076,0.9150377870950931,0.05664146830367221,0.013654314296009905,0.013520217183223755,0.003833050325210676,0.0038404058576477773,0.03003124238062349,0.02696137183786651,0.07685718851222267,0.5963080849154491,0.5963080849154491,-0.03193422281215241,2,0.011150066851666862,0.02384885145814386,0.6828845254350283,-0.6100006103515625,0.04399991035461426
2010-04-15,15.006116662405072,15.055759763910315,14.886973521789937,15.02001667022705,7014400,1211.6700439453125,15.890000343322754,3.8480000495910645,0.011237420425434613,0.0009258607267833618,0.7882345082360617,0.018076519851941697,0.09225584073331317,0.013127866453968018,0.0359418577122641,0.021737101263270348,0.023016388511059523,-0.001279287247789177,73.46978336723892,0.9197586331193729,0.04306407969309466,0.013163820799046386,0.013555821665298581,-0.0021126736931538015,-0.0021104435688716894,0.02230076706169304,0.029115910454482696,0.07473794542113321,-0.6362833158865822,0.6362833158865822,0.03039571713815903,3,0.0008425387276917995,0.021265385341931564,0.8170250148393746,0.3000001907348633,-0.006999969482421875
